Drillhole ID,Depth,Dip,Azimuth
C2077ND46,5.0,44.799999,29.81485
C2077ND46,35.0,42.700001,29.81485
C2077ND46,105.5,40.0,29.81485
C2077ND55,0.0,55.5,21.81485
C2077ND55,6.0,54.200001,21.81485
C2077ND55,30.0,52.099998,21.81485
C2077ND55,60.0,51.099998,21.81485
C2077ND55,120.0,50.400002,20.81485
C2077SD18,0.0,18.0,204.81485
C2077SD18,6.0,18.0,204.81485
C2077SD18,30.0,18.0,205.81485
C2077SD18,60.0,17.0,205.81485
C2077SD18,85.0,16.0,204.81485
C2077SD44,0.0,44.0,203.81485
C2077SD44,6.0,44.0,203.81485
C2077SD44,30.0,43.0,204.81485
C2077SD44,60.0,42.0,204.81485
C2077SD44,90.0,40.5,205.81485
C2077SD44,109.0,40.0,203.81485
C2078NEI07,0.0,-7.0,47.81485
C2078NEI07,10.0,-7.0,46.81485
C2078NEI07,40.0,-6.5,46.31485
C2078NEI07,70.0,-6.5,44.81485
C2078NEI07,100.0,-7.0,44.81485
C2078NEI07,122.0,-7.0,45.81485
C2079ND26,0.0,26.0,25.81485
C2079ND26,85.0,26.0,25.81485
C2079ND32,0.0,32.0,23.81485
C2079ND32,6.0,32.0,23.81485
C2079ND32,30.0,30.5,23.81485
C2079ND32,60.0,28.5,23.81485
C2079ND32,90.0,27.5,24.81485
C2079ND32,120.0,26.5,25.81485
C2079ND32,122.199997,26.5,25.81485
C2080NEI09,0.0,-9.0,59.81485
C2080NEI09,10.0,-9.0,57.81485
C2080NEI09,40.0,-8.0,57.81485
C2080NEI09,70.0,-8.0,57.81485
C2080NEI09,100.0,-8.0,57.31485
C2080NEI09,120.0,-8.0,57.81485
E765F2070-1,0.0,90.0,19.18511
E765F2070-2,0.0,90.0,19.18511
E765F2070-3,0.0,90.0,19.18511
E765F2070-4,0.0,90.0,19.18511
E765F2080-1,0.0,90.0,19.18511
E765F2080-2,0.0,90.0,19.18511
E765F2080-3,0.0,90.0,19.18511
E765F2080-4,0.0,90.0,19.18511
E765F2090-1,0.0,90.0,19.18511
E765F2090-2,0.0,90.0,19.18511
E765F2090-3,0.0,90.0,19.18511
E765F2090-4,0.0,90.0,19.18511
E765F2100-1,0.0,90.0,19.18511
E765F2100-2,0.0,90.0,19.18511
E765F2100-3,0.0,90.0,19.18511
E765F2100-4,0.0,90.0,19.18511
E765F2110-1,0.0,90.0,19.18511
E765F2110-2,0.0,90.0,19.18511
E765F2110-3,0.0,90.0,19.18511
E3140SWD25,0.0,25.0,187.814896
E3140SWD25,6.0,26.200001,187.314896
E3140SWD25,60.0,23.5,187.314896
E3140SWD25,90.0,24.1,187.814896
E3140SWH00,0.0,0.0,187.814896
E3140SWH00,6.0,-1.9,188.814896
E3140SWH00,36.0,-1.1,188.314896
E3140SWH00,72.0,-1.1,188.314896
E3142SD14,0.0,14.0,160.814896
E3142SD14,6.0,14.5,161.314896
E3142SD14,30.0,15.1,161.314896
E3142SD14,60.0,13.2,161.814896
E3142SD14,90.0,13.4,162.814896
E3142SD14,106.900002,12.1,163.814896
E3142SI10,0.0,-10.0,160.814896
E3142SI10,6.0,-9.2,160.814896
E3142SI10,30.0,-9.5,160.614883
E3142SI10,60.0,-8.9,160.814896
E3142SI10,86.300003,-8.9,160.814896
E3144SED10,0.0,10.0,141.314896
E3144SED10,6.0,9.5,144.814896
E3144SED10,30.0,10.0,143.314896
E3144SED10,60.0,9.2,145.614883
E3144SED10,80.0,8.0,144.814896
E3144SED10,101.0,10.9,145.314896
E3144SED10,104.0,10.9,145.314896
E3144SED42,0.0,42.0,141.314896
E3144SED42,6.0,40.799999,145.314896
E3144SED42,30.0,40.299999,142.814896
E3144SED42,60.0,38.400002,145.614883
E3144SED42,90.0,37.0,145.814896
E3144SED42,125.0,35.900002,145.71489
E3144SED42,129.0,35.900002,145.71489
E3148SD08,0.0,8.0,160.014893
E3148SD08,6.0,8.0,159.814896
E3148SD08,30.0,8.1,159.314896
E3148SD08,60.0,8.1,159.814896
E3148SD08,90.0,8.2,159.814896
E3148SD08,115.0,7.9,160.314896
E3150SED13,0.0,13.5,148.21489
E3150SED13,6.0,13.9,146.814896
E3150SED13,30.0,12.8,146.814896
E3150SED13,60.0,12.7,147.814896
E3150SED13,90.0,12.5,148.814896
E3150SED13,109.599998,12.9,148.814896
E3150SED24,0.0,24.1,148.21489
E3150SED24,6.0,23.5,147.314896
E3150SED24,60.0,22.1,148.314896
E3150SED24,90.0,21.799999,148.814896
E3150SED24,119.5,22.0,147.814896
E3150SED36,0.0,36.599998,148.21489
E3150SED36,6.0,36.200001,146.814896
E3150SED36,30.0,35.0,146.314896
E3150SED36,60.0,34.299999,147.014893
E3150SED36,90.0,32.5,148.814896
E3150SED36,130.0,30.1,149.814896
E3150SED36,132.5,30.1,149.814896
E3152SWD53,0.0,53.0,178.814896
E3152SWD53,10.0,50.5,176.814896
E3152SWD53,40.0,46.5,175.814896
E3152SWD53,70.0,43.5,175.814896
E3152SWD53,73.0,43.5,175.814896
E3154SWD18,0.0,16.9,169.314896
E3154SWD18,6.0,16.9,169.314896
E3154SWD18,30.0,17.1,168.814896
E3154SWD18,60.0,17.0,169.814896
E3154SWD18,90.0,17.200001,170.314896
E3154SWD18,125.0,15.8,171.114883
E3154SWD18,129.0,15.8,171.114883
E3156SD30,0.0,30.0,160.814896
E3156SD30,6.0,29.799999,160.314896
E3156SD30,30.0,29.0,160.314896
E3156SD30,60.0,28.700001,156.814896
E3156SD30,90.0,27.1,158.314896
E3156SD30,120.0,26.0,158.314896
E3156SD30,150.0,24.200001,159.314896
E3156SD30,157.600006,24.200001,159.314896
E3156SD50,0.0,50.0,159.814896
E3156SD50,95.300003,50.0,159.814896
E3156SD52,0.0,52.0,158.814896
E3156SD52,10.0,51.5,158.814896
E3156SD52,40.0,48.5,156.814896
E3156SD52,70.0,47.0,157.814896
E3156SD52,183.0,39.0,159.814896
E3158SED11,0.0,11.3,143.314896
E3158SED11,65.150002,11.3,143.314896
E3158SED42,0.0,42.299999,143.814896
E3158SED42,89.400002,42.299999,143.814896
E3158SWD42,0.0,42.0,202.814896
E3158SWD42,6.0,41.099998,206.814896
E3158SWD42,30.0,41.0,207.814896
E3158SWD42,60.0,39.299999,206.814896
E3158SWD42,90.0,38.099998,206.314896
E3158SWD42,120.0,37.099998,206.814896
E3158SWD42,150.699997,36.400002,206.614883
E3160SD20,0.0,19.6,159.814896
E3160SD20,35.0,20.1,159.814896
E3160SD20,65.0,18.6,159.814896
E3160SD20,95.0,18.0,159.814896
E3160SD20,127.099998,18.0,159.814896
E3160SD30,0.0,31.0,159.814896
E3160SD30,6.0,29.200001,160.814896
E3160SD30,35.0,27.200001,161.814896
E3160SD30,65.0,27.200001,161.814896
E3160SD30,95.0,26.4,161.814896
E3160SD30,130.0,25.4,162.814896
E3160SD30,170.5,25.4,162.814896
E3160SD44,0.0,44.900002,160.814896
E3160SD44,30.0,40.5,160.814896
E3160SD44,60.0,36.5,161.314896
E3160SD44,90.0,34.200001,161.814896
E3160SD44,119.0,32.799999,162.814896
E3160SED55,0.0,55.0,142.814896
E3160SED55,10.0,54.5,141.814896
E3160SED55,85.0,48.0,144.814896
E3162SWD09,0.0,9.0,176.814896
E3162SWD09,6.0,8.2,176.814896
E3162SWD09,48.0,9.1,176.314896
E3162SWD09,49.900002,9.1,176.314896
E3162SWD20,0.0,20.0,171.814896
E3162SWD20,6.0,19.1,171.014893
E3162SWD20,30.0,20.1,170.814896
E3162SWD20,60.0,20.0,170.814896
E3162SWD20,90.0,19.9,170.314896
E3162SWD20,120.0,18.799999,170.614883
E3162SWD20,150.0,18.6,170.514893
E3162SWD20,171.0,17.0,170.814896
E3162SWD54,0.0,54.0,189.814896
E3162SWD54,6.0,53.099998,189.814896
E3162SWD54,30.0,52.099998,190.314896
E3162SWD54,60.0,51.200001,190.814896
E3162SWD54,90.0,50.099998,190.314896
E3162SWD54,120.0,49.299999,189.814896
E3162SWD54,151.5,46.900002,189.814896
E3164SD05,0.0,5.0,160.814896
E3164SD05,5.0,5.2,161.814896
E3164SD05,35.0,7.5,161.814896
E3164SD05,75.0,7.5,161.814896
E3164SD05,109.099998,7.5,161.814896
E3164SD31,0.0,31.700001,163.814896
E3164SD31,35.0,31.5,162.814896
E3164SD31,65.0,28.0,163.814896
E3164SD31,95.0,27.299999,163.814896
E3164SD31,130.0,26.4,163.814896
E3164SD31,160.0,25.299999,163.814896
E3164SD31,176.800003,25.299999,163.814896
E3164SED39,0.0,39.0,142.814896
E3164SED39,6.0,38.099998,142.314896
E3164SED39,67.0,35.799999,142.314896
E3164SWD38,0.0,38.0,180.814896
