HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2067ND15,371731.0,7750270.0,265.41,66.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2067ND58,371732.0,7750270.0,264.61,80.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2067ND69,371733.0,7750268.0,264.6,121.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2067NED25,371732.0,7750270.0,265.4,74.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2067NWD39,371727.0,7750275.0,264.46,54.200001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2067NWD47,371724.0,7750275.0,264.54,60.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2069ND40,371749.0,7750258.0,268.13,69.900002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2070NWD04,371799.0,7750266.0,198.1,72.90000153,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071ND25,371768.0,7750253.0,271.92,58.900002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071ND43,371768.0,7750252.0,271.59,70.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071ND55,371768.0,7750253.0,271.34,99.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071ND73,371769.0,7750252.0,271.2,181.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071NED50,371768.0,7750253.0,271.41,109.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071SD33,371768.0,7750252.0,194.5,89.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2071SD55,371766.0,7750247.0,270.8,119.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2072NWI09,371798.0,7750266.0,199.3,65.40000153,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
